comp_id,title
12503,Decathlon
12504,3M
12508,TE Connectivity
12529,Searce
12534,Bennett Coleman and Co. Ltd. (Times Group)
12536,Royal Dutch Shell
12557,bebo Technologies
12568,Omega Healthcare
12580,Appirio
12590,L&T Power
12603,The Federal Bank
12609,VE Commercial Vehicles
12610,Bharat Forge
12621,Volkswagen
12627,Torrent Pharmaceuticals
12631,Ambuja Cements
12633,AFCONS Infrastructure
12635,Confederation of Indian Industry
12653,SunTec Business Solutions
12699,Siemens Energy
12705,Force Motors
12713,Hetero
12720,Avineon India
12760,Maruti
13712,Saama Technologies
14238,Hyundai Engineering and Construction
14267,Sievert Group
14359,NEC
14366,Omega
14469,Kusum Health Care
14561,Intellipaat
14704,Shriram Housing Finance
14750,Anunta Technology Management Services
15013,KRBL
15032,Krishna Maruti
15075,Galfar Engineering & Contracting SAOG
15193,PROLIM
15197,Infoview Technologies Pvt Limited
15218,UrbanClap
15274,University of Maryland
15314,WorleyParsons
15324,Epicor Software
15380,Telstra
15385,CNN
15446,BorgWarner
15450,Foxconn
15583,McCormick & Company
15756,Lebara
15758,qatar airways
15807,UNHCR
15867,Mothercare
15957,alfanar
16054,NCC Group
16274,Saudi Oger
16296,GE Digital
16485,Musashi Auto Parts
16698,Al Turki Enterprises
16702,ExterNetworks
16705,Inductotherm
16875,Wipro Digital
16904,Continental
17270,Amtek Industries
17368,LUX Industries
18007,Suzlon Energy
18035,Fortune
18463,Nepa
18654,Aqusag Technologies
18830,Albertsons International
18990,ATS Infrastructure
19045,JPM Group
19053,Catalyst
19060,Tolexo
19107,E-Ring
19156,IDFC Mutual Fund
19231,Panchshil Realty
19238,Jal International
19404,Manikaran Power
19411,Yellow Objects Solutions
19497,Infosenseglobal
20200,Collegedunia
20476,The Practice
20558,Vero Moda
20692,Schneider Electric
20937,Origin Learning Solutions
21444,NexGen Technologies
21588,Hitachi Plant Technologies
21764,Baker Tilly
21842,United Airlines
21861,Vistara
21882,Rakuten
22112,Divya Bhaskar
22248,MIOT Hospitals
22356,Genus Power Infrastructure
22624,Somany Ceramics
22672,Max India
22702,MSN Labs Hyderabad
22836,Polestar Solutions & Services India
22893,ProtoTech Solutions
22934,Patanjali Ayurved
23017,BlackNGreen
23038,Embassy IT Solutions
23108,FISME
23190,Parag Milk Foods
23206,Medline Industries
23231,Mapro Foods
23275,Marquardt
23345,Bharat IT Services
23535,Riya Travel And tours India Pvt
23537,PI Industries
23645,Kokuyo Camlin
23709,EC-Council
23801,Central Mechanical Engineering Research Institute
23953,Score Information
24016,P&O Cruises
24072,Softeon
